grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_1,0
NDGRD_2,0
NDGRD_3,0
NDGRD_4,0
NDGRD_5,0
NDGRD_6,0
NDGRD_7,0
NDGRD_8,0
NDGRD_9,0
NDGRD_10,0
NDGRD_11,0
NDGRD_12,0
NDGRD_13,0
NDGRD_14,0
NDGRD_15,0
NDGRD_16,0
NDGRD_17,0
NDGRD_18,0
NDGRD_19,0
NDGRD_20,0
NDGRD_21,0
NDGRD_22,0
NDGRD_23,0
NDGRD_24,0
NDGRD_25,0
NDGRD_26,0
NDGRD_27,0
NDGRD_28,0
NDGRD_29,0
NDGRD_30,0
NDGRD_31,0
NDGRD_32,156.9569188
NDGRD_33,0
NDGRD_34,0
NDGRD_35,0
NDGRD_36,0
NDGRD_37,0
NDGRD_38,0
NDGRD_39,0
NDGRD_40,0
NDGRD_41,0
NDGRD_42,0
NDGRD_43,0
NDGRD_44,0
NDGRD_45,0
NDGRD_46,0
NDGRD_47,0
NDGRD_48,0
NDGRD_49,0
NDGRD_50,2.79506268
NDGRD_51,928.0064904
NDGRD_52,0
NDGRD_53,0
NDGRD_54,0
NDGRD_55,0
NDGRD_56,0
NDGRD_57,0
NDGRD_58,0
NDGRD_59,0
NDGRD_60,0
NDGRD_61,0
NDGRD_62,69.12685815
NDGRD_63,0
NDGRD_64,0
NDGRD_65,0
NDGRD_66,0
NDGRD_67,0
NDGRD_68,0
NDGRD_69,0
NDGRD_70,0
NDGRD_71,0
NDGRD_72,0
NDGRD_73,0
NDGRD_74,0
NDGRD_75,0
NDGRD_76,0
NDGRD_77,0
NDGRD_78,0
NDGRD_79,0
NDGRD_80,0
NDGRD_81,24.04468542
NDGRD_82,0
NDGRD_83,0
NDGRD_84,0
NDGRD_85,0
NDGRD_86,0
NDGRD_87,1.180020417
NDGRD_88,1.677697792
NDGRD_89,10.91801755
NDGRD_90,0
NDGRD_91,0
NDGRD_92,0
NDGRD_93,0
NDGRD_94,0
NDGRD_95,0
NDGRD_96,0
NDGRD_97,0
NDGRD_98,0
NDGRD_99,9.907763908
NDGRD_100,0
NDGRD_101,0.272380522
NDGRD_102,121.6979028
NDGRD_103,0
NDGRD_104,0
NDGRD_105,0
NDGRD_106,0
NDGRD_107,0
NDGRD_108,1.03112232
NDGRD_109,0
NDGRD_110,0
NDGRD_111,0
NDGRD_112,10.61476947
NDGRD_113,0.808434482
NDGRD_114,3.114424599
NDGRD_115,4.524246886
NDGRD_116,0
NDGRD_117,0
NDGRD_118,37.2926401
NDGRD_119,0
NDGRD_120,0
NDGRD_121,0
NDGRD_122,0
NDGRD_123,0
NDGRD_124,0
NDGRD_125,0
NDGRD_126,0
NDGRD_127,24.98419415
NDGRD_128,19.1698267
NDGRD_129,0
NDGRD_130,0
NDGRD_131,0
NDGRD_132,0
NDGRD_133,0.794679986
NDGRD_134,9.463887872
NDGRD_135,1.481264042
NDGRD_136,0
NDGRD_137,0
NDGRD_138,0
NDGRD_139,0
NDGRD_140,0
NDGRD_141,0
NDGRD_142,0
NDGRD_143,0
NDGRD_144,0
NDGRD_145,0
NDGRD_146,0
NDGRD_147,0
NDGRD_148,0
NDGRD_149,0
NDGRD_150,0
NDGRD_151,0
NDGRD_152,0
NDGRD_153,0
NDGRD_154,0
NDGRD_155,0
NDGRD_156,0
NDGRD_157,0
NDGRD_158,0
NDGRD_159,0
NDGRD_160,0
NDGRD_161,0
NDGRD_162,29.49379307
NDGRD_163,0
NDGRD_164,6.968618053
NDGRD_165,400.1826272
NDGRD_166,7.538083122
NDGRD_167,0
NDGRD_168,0
NDGRD_169,0
NDGRD_170,0
NDGRD_171,0
NDGRD_172,0
NDGRD_173,0
NDGRD_174,1.323072109
NDGRD_175,4.76860281
NDGRD_176,0
NDGRD_177,0
NDGRD_178,0
NDGRD_179,0
NDGRD_180,0
NDGRD_181,0
NDGRD_182,0
NDGRD_183,0
NDGRD_184,64.8189425
NDGRD_185,221.4702369
NDGRD_186,16.59962509
NDGRD_187,5.031176981
NDGRD_188,76.14964902
NDGRD_189,25.43190417
NDGRD_190,0
NDGRD_191,0
NDGRD_192,0
NDGRD_193,2.868697944
NDGRD_194,2.381515853
NDGRD_195,153.2164983
NDGRD_196,0
NDGRD_197,0
NDGRD_198,13.28838242
NDGRD_199,0
NDGRD_200,0
NDGRD_201,0
NDGRD_202,1.680737804
NDGRD_203,25.36091309
NDGRD_204,8.567679995
NDGRD_205,43.77165441
